iter	Passed	Remaining
399	83285	161574
400	83464	161308
401	83651	161060
402	83822	160780
403	83988	160492
404	84165	160226
405	84372	160015
406	84524	159704
407	84712	159458
408	84895	159204
409	85101	158993
410	85274	158722
411	85457	158470
412	85621	158181
413	85780	157884
414	85937	157586
415	86128	157351
416	86278	157039
417	86429	156731
418	86612	156480
419	86825	156286
420	86991	156005
421	87153	155719
422	87322	155445
423	87492	155174
424	87669	154917
425	87829	154629
426	88020	154396
427	88196	154137
428	88392	153913
429	88574	153667
430	88801	153496
431	89012	153300
432	89166	153003
433	89355	152768
434	89518	152489
435	89711	152262
436	89824	151899
437	89982	151614
438	90156	151356
439	90346	151125
440	90538	150897
441	90711	150639
442	90858	150337
443	91013	150050
444	91208	149827
445	91355	149528
446	91540	149290
447	91725	149054
448	91911	148818
449	92085	148564
450	92258	148308
451	92442	148071
452	92621	147826
453	92776	147542
454	92959	147304
455	93116	147025
456	93310	146805
457	93491	146565
458	93654	146296
459	93834	146056
460	94034	145844
461	94209	145595
462	94395	145364
463	94563	145105
464	94739	144859
465	94920	144620
466	95108	144394
467	95297	144167
468	95416	143836
469	95587	143585
470	95738	143303
471	95927	143078
472	96082	142804
473	96263	142568
474	96347	142189
475	96503	141916
476	96650	141633
477	96834	141402
478	97003	141150
479	97163	140887
480	97314	140609
481	97498	140382
482	97681	140152
483	97858	139913
484	98018	139650
485	98181	139394
486	98339	139129
487	98504	138874
488	98676	138631
489	98846	138385
490	99013	138135
491	99134	137821
492	99294	137562
493	99471	137327
494	99625	137060
495	99809	136836
496	99983	136597
497	100152	136351
498	100323	136110
499	100495	135869
500	100667	135629
501	100845	135398
502	101035	135182
503	101207	134943
504	101322	134627
505	101505	134404
506	101615	134085
507	101775	133830
508	101954	133602
509	102111	133346
510	102271	133092
511	102466	132885
512	102649	132663
513	102789	132386
514	102940	132123
515	103101	131874
516	103287	131657
517	103450	131410
518	103603	131150
519	103822	130976
520	103975	130717
521	104135	130468
522	104298	130223
523	104475	129995
524	104669	129790
525	104848	129566
526	105037	129353
527	105192	129099
528	105378	128884
529	105548	128649
530	105733	128433
531	105919	128218
532	106093	127988
533	106265	127757
534	106458	127551
535	106646	127339
536	106808	127096
537	106974	126857
538	107157	126640
539	107320	126400
540	107505	126184
541	107695	125975
542	107854	125730
543	108045	125523
544	108220	125297
545	108387	125062
546	108567	124842
547	108750	124625
548	108911	124385
549	109114	124192
550	109285	123963
551	109463	123741
552	109657	123538
553	109831	123312
554	110021	123104
555	110176	122859
556	110373	122658
557	110541	122427
558	110730	122219
559	110918	122009
560	111110	121805
561	111289	121586
562	111456	121355
563	111641	121142
564	111800	120903
565	111975	120679
566	112155	120462
567	112340	120251
568	112536	120051
569	112700	119818
570	112881	119603
571	113070	119396
572	113276	119207
573	113474	119009
574	113683	118824
575	113809	118551
576	114166	118519
577	114562	118526
578	114917	118490
579	115173	118350
580	115391	118171
581	115617	118001
582	115830	117817
583	116029	117618
584	116201	117393
585	116379	117173
586	116566	116963
587	116750	116750
588	116901	116504
589	117083	116289
590	117276	116085
591	117392	115806
592	117565	115583
593	117751	115372
594	117873	115100
595	118069	114900
596	118269	114703
597	118455	114493
598	118635	114277
599	118797	114045
600	118938	113793
601	119137	113596
602	119356	113418
603	119585	113249
604	119780	113049
605	119945	112820
606	120121	112601
607	120228	112319
608	120410	112106
609	120592	111893
610	120777	111684
611	120952	111465
612	121109	111230
613	121292	111019
614	121463	110798
615	121654	110595
616	121846	110392
617	122018	110172
618	122206	109966
619	122368	109737
620	122554	109528
621	122741	109322
622	122938	109124
623	123214	108997
624	123480	108860
625	123771	108744
626	124048	108616
627	124321	108484
628	124635	108387
629	124824	108180
630	125103	108053
631	125277	107833
632	125445	107609
633	125632	107402
634	125830	107203
635	126028	107005
636	126173	106762
637	126348	106544
638	126527	106330
639	126707	106117
640	126892	105909
641	127080	105702
642	127257	105486
643	127425	105264
644	127592	105041
645	127759	104818
646	127928	104597
647	128092	104371
648	128276	104163
649	128469	103961
650	128630	103734
651	128809	103522
652	128999	103318
653	129159	103090
654	129338	102878
655	129496	102649
656	129672	102435
657	129865	102234
658	129999	101987
659	130159	101760
660	130336	101547
661	130534	101351
662	130691	101123
663	130867	100909
664	131056	100706
665	131181	100454
666	131341	100229
667	131520	100018
668	131676	99790
669	131815	99549
670	131999	99344
671	132171	99128
672	132352	98919
673	132546	98721
674	132722	98509
675	132893	98294
676	133082	98091
677	133260	97881
678	133449	97679
679	133619	97463
680	133839	97284
681	134066	97110
682	134247	96901
683	134400	96674
684	134562	96452
685	134743	96245
686	134912	96029
687	135071	95806
688	135245	95594
689	135403	95371
690	135565	95150
691	135737	94937
692	135909	94724
693	136048	94488
694	136229	94282
695	136415	94079
696	136580	93862
697	136759	93654
698	136915	93431
699	137153	93264
700	137338	93060
701	137539	92868
702	137704	92652
703	137867	92433
704	138064	92238
705	138239	92029
706	138412	91818
707	138604	91620
708	138789	91416
709	138938	91190
710	139115	90982
711	139286	90771
712	139451	90555
713	139618	90341
714	139740	90098
715	139954	89914
716	140156	89723
717	140335	89517
718	140516	89312
719	140693	89106
720	140889	88910
721	141076	88709
722	141263	88509
723	141404	88280
724	141581	88073
725	141754	87864
726	141929	87656
727	142122	87459
728	142318	87265
729	142480	87049
730	142653	86841
731	142806	86620
732	142956	86398
733	143143	86197
734	143307	85984
735	143472	85771
736	143632	85555
737	143812	85352
738	144006	85156
739	144177	84947
740	144334	84730
741	144506	84522
742	144619	84280
743	144804	84079
744	144992	83881
745	145167	83675
746	145329	83462
747	145510	83259
748	145696	83060
749	145870	82854
750	146092	82675
751	146283	82478
752	146451	82269
753	146614	82057
754	146774	81843
755	146967	81648
756	147126	81434
757	147422	81296
758	147603	81094
759	147782	80891
760	147961	80688
761	148066	80445
762	148242	80241
763	148422	80039
764	148609	79840
765	148769	79628
766	148960	79432
767	149130	79225
768	149318	79028
769	149481	78817
770	149670	78620
771	149816	78401
772	150001	78202
773	150149	77984
774	150311	77773
775	150482	77568
776	150643	77357
777	150750	77118
778	150902	76903
779	151076	76700
780	151264	76503
781	151448	76305
782	151616	76098
783	151797	75898
784	151988	75704
785	152137	75487
786	152304	75281
787	152500	75089
788	152721	74909
789	152910	74713
790	153066	74501
791	153263	74309
792	153448	74112
793	153620	73907
794	153826	73720
795	154020	73527
796	154166	73311
797	154350	73113
798	154534	72915
799	154698	72708
800	154911	72524
801	155140	72347
802	155290	72133
803	155470	71934
804	155642	71730
805	155805	71523
806	155974	71319
807	156136	71111
808	156315	70911
809	156500	70715
810	156675	70513
811	156870	70321
812	157023	70110
813	157158	69891
814	157356	69700
815	157537	69501
816	157694	69293
817	157875	69094
818	158042	68890
819	158234	68697
820	158400	68492
821	158588	68297
822	158749	68090
823	158935	67894
824	159093	67686
825	159277	67490
826	159470	67297
827	159658	67102
828	159848	66908
829	160036	66713
830	160216	66516
831	160401	66319
832	160576	66119
833	160753	65920
834	160944	65727
835	161128	65530
836	161334	65343
837	161523	65148
838	161700	64949
839	161874	64749
840	162044	64548
841	162229	64352
842	162414	64156
843	162598	63960
844	162758	63755
845	162928	63553
846	163081	63345
847	163277	63154
848	163437	62949
849	163583	62739
850	163750	62536
851	163956	62349
852	164139	62153
853	164315	61955
854	164497	61758
855	164678	61562
856	164864	61367
857	165048	61171
858	165221	60972
859	165400	60774
860	165516	60554
861	165668	60347
862	165815	60139
863	165984	59938
864	166154	59738
865	166331	59541
866	166507	59343
867	166649	59133
868	166821	58934
869	167014	58743
870	167134	58525
871	167304	58326
872	167443	58116
873	167610	57915
874	167788	57719
875	167965	57522
876	168084	57305
877	168249	57105
878	168405	56901
879	168589	56707
880	168705	56490
881	168897	56299
882	169085	56106
883	169267	55912
884	169425	55709
885	169612	55516
886	169754	55308
887	169921	55109
888	170111	54917
889	170277	54718
890	170458	54523
891	170645	54331
892	170805	54129
893	170958	53926
894	171148	53734
895	171320	53537
896	171493	53340
897	171617	53128
898	171791	52932
899	171977	52739
900	172137	52539
901	172277	52332
902	172442	52133
903	172615	51937
904	172730	51723
905	172919	51532
906	173077	51331
907	173254	51136
908	173438	50944
909	173597	50744
910	173772	50548
911	173943	50352
912	174095	50150
913	174276	49956
914	174450	49761
915	174571	49550
916	174744	49355
917	174898	49154
918	175062	48956
919	175205	48752
920	175376	48556
921	175555	48363
922	175722	48166
923	175850	47959
924	176000	47757
925	176189	47567
926	176378	47376
927	176543	47179
928	176700	46980
929	176866	46783
930	177042	46590
931	177222	46397
932	177412	46207
933	177570	46008
934	177745	45814
935	177910	45618
936	178046	45414
937	178213	45218
938	178331	45010
939	178520	44819
940	178697	44626
941	178872	44433
942	179064	44244
943	179241	44050
944	179413	43856
945	179606	43667
946	179770	43471
947	179924	43272
948	180056	43069
949	180214	42872
950	180370	42674
951	180514	42474
952	180677	42278
953	180848	42084
954	181031	41893
955	181209	41700
956	181398	41511
957	181572	41318
958	181765	41129
959	181952	40939
960	182128	40746
961	182314	40556
962	182456	40356
963	182645	40166
964	182780	39965
965	182950	39771
966	183111	39576
967	183298	39386
968	183456	39190
969	183639	38999
970	183791	38802
971	183974	38611
972	184150	38419
973	184324	38227
974	184496	38034
975	184651	37838
976	184807	37642
977	184984	37450
978	185168	37260
979	185307	37061
980	185474	36868
981	185603	36667
982	185783	36476
983	185966	36286
984	186123	36090
985	186290	35897
986	186448	35702
987	186603	35507
988	186777	35315
989	186949	35123
990	187110	34929
991	187298	34740
992	187471	34549
993	187678	34363
994	187843	34170
995	188025	33980
996	188224	33793
997	188339	33591
998	188488	33395
999	188644	33201
1000	188814	33009
1001	188970	32815
1002	189138	32623
1003	189304	32430
1004	189476	32239
1005	189642	32047
1006	189786	31850
1007	189901	31650
1008	190086	31461
1009	190268	31271
1010	190439	31080
1011	190603	30888
1012	190767	30696
1013	190937	30504
1014	191115	30314
1015	191274	30121
1016	191440	29930
1017	191617	29740
1018	191775	29547
1019	191936	29354
1020	192111	29164
1021	192294	28975
1022	192463	28784
1023	192616	28591
1024	192795	28402
1025	192974	28212
1026	193138	28021
1027	193296	27828
1028	193512	27644
1029	193663	27451
1030	193829	27260
1031	193975	27066
1032	194159	26877
1033	194331	26687
1034	194522	26500
1035	194644	26303
1036	194829	26115
1037	195014	25926
1038	195194	25737
1039	195336	25543
1040	195500	25353
1041	195669	25162
1042	195856	24975
1043	196003	24782
1044	196160	24590
1045	196328	24400
1046	196513	24212
1047	196699	24024
1048	196883	23836
1049	197101	23652
1050	197252	23460
1051	197414	23269
1052	197588	23080
1053	197790	22894
1054	197962	22704
1055	198130	22514
1056	198312	22326
1057	198483	22137
1058	198670	21949
1059	198845	21760
1060	199000	21569
1061	199160	21378
1062	199347	21191
1063	199524	21002
1064	199704	20814
1065	199855	20622
1066	199960	20427
1067	200134	20238
1068	200280	20046
1069	200448	19857
1070	200617	19668
1071	200787	19479
1072	200956	19290
1073	201139	19102
1074	201319	18914
1075	201464	18723
1076	201548	18526
1077	201674	18334
1078	201815	18142
1079	202001	17955
1080	202123	17762
1081	202299	17574
1082	202457	17385
1083	202642	17198
1084	202809	17009
1085	202983	16821
1086	203159	16634
1087	203329	16445
1088	203484	16256
1089	203630	16066
1090	203790	15877
1091	203941	15687
1092	204116	15500
1093	204271	15311
1094	204461	15124
1095	204630	14936
1096	204810	14749
1097	204997	14562
1098	205170	14374
1099	205312	14185
1100	205491	13998
1101	205675	13811
1102	205853	13623
1103	205995	13434
1104	206180	13247
1105	206364	13061
1106	206520	12872
1107	206682	12684
1108	206838	12496
1109	207022	12309
1110	207168	12120
1111	207356	11934
1112	207487	11744
1113	207632	11555
1114	207776	11367
1115	207947	11179
1116	208104	10992
1117	208256	10804
1118	208415	10616
1119	208534	10426
1120	208691	10239
1121	208852	10051
1122	209004	9863
1123	209186	9677
1124	209344	9490
1125	209509	9303
1126	209700	9117
1127	209849	8929
1128	210036	8743
1129	210185	8556
1130	210336	8368
1131	210503	8182
1132	210667	7995
1133	210794	7807
1134	210961	7620
1135	211147	7434
1136	211307	7248
1137	211492	7062
1138	211652	6875
1139	211834	6689
1140	212023	6503
1141	212185	6317
1142	212340	6130
1143	212498	5944
1144	212679	5758
1145	212857	5572
1146	213004	5385
1147	213181	5199
1148	213369	5013
1149	213548	4828
1150	213731	4642
1151	213887	4455
1152	214041	4269
1153	214175	4083
1154	214323	3896
1155	214482	3710
1156	214660	3525
1157	214846	3339
1158	215021	3153
1159	215189	2968
1160	215355	2782
1161	215539	2596
1162	215661	2410
1163	215860	2225
1164	216001	2039
1165	216177	1854
1166	216347	1668
1167	216508	1482
1168	216674	1297
1169	216828	1111
1170	217002	926
1171	217163	741
1172	217343	555
1173	217451	370
1174	217571	185
1175	217725	0
